subzone,sub_category,listing_type,average_price
TUAS BAY,general_industrial,rent,84506.00
UPPER THOMSON,retail_fnb,sale,1700000.00
NORTHLAND,generic_office,rent,41500.00
KAMPONG GLAM,generic_office,rent,18888.00
YIO CHU KANG,factory,rent,61840.00
TIONG BAHRU STATION,generic_office,rent,28234.00
BUGIS,retail_fnb,rent,30500.00
JOO SENG,warehouse,rent,7894.50
PHILLIP,generic_office,rent,25000.00
GUL BASIN,general_industrial,sale,18000000.00
MARINE PARADE,retail_shop,rent,2100.00
LORONG 8 TOA PAYOH,generic_office,rent,66000.00
VICTORIA,retail_fnb,sale,3450000.00
LITTLE INDIA,retail_shop,sale,7880000.00
HILLVIEW,retail_fnb,rent,27000.00
LORONG CHUAN,retail_shop,rent,13425.00
CRAWFORD,retail_fnb,rent,18888.00
TANJONG PAGAR,generic_office,sale,1490000.00
BRAS BASAH,retail_shop,rent,28416.00
ANG MO KIO TOWN CENTRE,retail_shop,sale,1906000.00
TUAS VIEW,general_industrial,sale,1300000.00
CECIL,retail_fnb,rent,22815.00
BOAT QUAY,retail_fnb,rent,105420.00
BUKIT BATOK SOUTH,generic_office,sale,620000.00
SEMBAWANG CENTRAL,general_industrial,sale,490000.00
LAVENDER,retail_fnb,rent,53163.00
PASIR PANJANG 2,factory,rent,5998.00
QUEENSWAY,retail_shop,sale,950000.00
SENNETT,generic_retail,sale,3856000.00
INSTITUTION HILL,retail_fnb,rent,16000.00
HOLLAND DRIVE,generic_office,rent,67500.00
BEDOK NORTH,retail_shop,sale,3288888.00
UPPER THOMSON,fnb,sale,4980000.00
NATIONAL UNIVERSITY OF S'PORE,retail_fnb,rent,10912.50
CHANGI WEST,factory,rent,85800.00
CHANGI WEST,generic_office,rent,9106.00
OXLEY,retail_shop,rent,15500.00
ONE NORTH,ebiz,rent,9159.00
BRADDELL,general_industrial,rent,4891.50
JOO SENG,fnb,sale,3336000.00
JOO SENG,ebiz,rent,8750.00
YUNNAN,retail_shop,rent,15000.00
TELOK BLANGAH RISE,retail_shop,rent,7800.00
TELOK BLANGAH WAY,retail_shop,sale,2000000.00
ALJUNIED,showroom,rent,10800.00
TAMAN JURONG,general_industrial,rent,15000.00
TOH GUAN,general_industrial,rent,86000.00
TOH GUAN,ebiz,rent,21500.00
SENNETT,generic_office,rent,39500.00
TELOK BLANGAH DRIVE,generic_office,rent,36000.00
HOLLAND DRIVE,general_industrial,rent,28800.00
PASIR PANJANG 1,generic_office,rent,29500.00
HOLLAND DRIVE,retail_shop,rent,29000.00
