id,subzone,planning_area,population_chinese_male,population_chinese_female,population_malays_male,population_malays_female,population_indians_male,population_indians_female,population_others_male,population_others_female,subzone_size,population_density
811,MALCOLM,NOVENA,960,1180,10,10,70,70,160,180,1.319,864.3
812,MOULMEIN,NOVENA,3440,3600,40,40,310,280,380,390,1.347,2843.4
813,MOUNT PLEASANT,NOVENA,250,250,-,-,20,30,40,50,3.145,95.4
814,BOULEVARD,ORCHARD,130,160,-,-,10,10,60,30,0.4606,347.4
815,SOMERSET,ORCHARD,30,50,-,-,10,10,20,10,0.3294,121.4
816,TANGLIN,ORCHARD,100,140,-,-,20,20,50,60,0.1675,955.2
817,CHINA SQUARE,OUTRAM,740,800,-,-,10,10,10,10,0.133,5639.1
818,CHINATOWN,OUTRAM,4790,5270,310,310,440,430,180,160,0.5872,8429.8
819,PEARL'S HILL,OUTRAM,3260,2800,670,640,420,260,80,100,0.5616,5982.9
820,PEOPLE'S PARK,OUTRAM,180,190,-,-,10,-,-,10,0.09135,2079.9
821,FLORA DRIVE,PASIR RIS,4930,5230,510,560,610,550,290,280,0.945,5513.2
822,LOYANG EAST,PASIR RIS,820,820,40,50,120,140,90,110,0.9721,956.7
823,LOYANG WEST,PASIR RIS,70,80,10,10,10,-,10,-,2.105,33.3
824,PASIR RIS CENTRAL,PASIR RIS,9300,9600,1870,1930,1070,1010,460,500,1.511,6485.8
825,PASIR RIS DRIVE,PASIR RIS,17800,18320,8010,8020,2600,2400,1110,1230,1.64,11603.7
826,PASIR RIS PARK,PASIR RIS,1080,1160,160,180,120,100,110,80,1.671,694.2
827,PASIR RIS WAFER FAB PARK,PASIR RIS,-,-,-,-,-,-,-,-,4.608,0.0
828,PASIR RIS WEST,PASIR RIS,12150,12540,3520,3570,1620,1560,660,720,1.583,8130.1
829,AIRPORT ROAD,PAYA LEBAR,-,-,-,-,-,-,-,-,0.4829,0.0
830,PAYA LEBAR EAST,PAYA LEBAR,-,-,-,-,-,-,-,-,2.259,0.0
831,PAYA LEBAR NORTH,PAYA LEBAR,-,-,-,-,-,-,-,-,1.287,0.0
832,PAYA LEBAR WEST,PAYA LEBAR,-,-,-,-,-,-,-,-,0.6017,0.0
833,PLAB,PAYA LEBAR,-,-,-,-,-,-,-,-,7.054,0.0
834,BENOI SECTOR,PIONEER,-,-,-,-,-,-,-,-,2.043,0.0
835,GUL BASIN,PIONEER,-,-,-,-,-,-,-,-,1.749,0.0
836,GUL CIRCLE,PIONEER,-,-,-,-,-,-,-,-,3.26,0.0
837,JOO KOON,PIONEER,-,-,-,-,-,-,-,-,2.349,0.0
838,PIONEER SECTOR,PIONEER,-,-,-,-,-,-,-,-,2.727,0.0
839,CONEY ISLAND,PUNGGOL,-,-,-,-,-,-,-,-,1.197,0.0
840,MATILDA,PUNGGOL,11510,11780,"2,150","2,310","1,000",990,300,410,1.35,8829.6
841,NORTHSHORE,PUNGGOL,120,120,-,-,20,10,10,10,1.371,94.8
842,PUNGGOL CANAL,PUNGGOL,-,-,-,-,-,-,-,-,1.252,0.0
843,PUNGGOL FIELD,PUNGGOL,16690,17280,2280,2400,1760,1640,580,670,1.379,12588.8
844,PUNGGOL TOWN CENTRE,PUNGGOL,2920,3110,440,420,170,180,70,90,1.191,2527.3
845,WATERWAY EAST,PUNGGOL,10650,10720,2230,2260,1000,950,220,330,1.489,7374.1
846,COMMONWEALTH,QUEENSTOWN,2810,3220,560,610,310,280,150,200,0.3105,9694.0
847,DOVER,QUEENSTOWN,5000,5470,520,530,620,590,220,250,1.38,3804.3
848,GHIM MOH,QUEENSTOWN,4310,4930,730,800,420,410,130,180,0.4856,9246.3
849,HOLLAND DRIVE,QUEENSTOWN,5350,6440,550,640,390,370,230,260,0.4707,11918.4
850,KENT RIDGE,QUEENSTOWN,310,370,10,10,110,90,90,100,1.827,224.4
851,MARGARET DRIVE,QUEENSTOWN,4240,4770,160,170,410,430,160,170,1.027,4294.1
852,MEI CHIN,QUEENSTOWN,6150,6900,740,780,850,890,200,250,0.7487,8548.2
853,NATIONAL UNIVERSITY OF S'PORE,QUEENSTOWN,80,240,-,-,10,10,10,20,1.753,57.0
854,ONE NORTH,QUEENSTOWN,180,220,-,-,30,20,90,80,2.003,129.8
855,PASIR PANJANG 1,QUEENSTOWN,1620,1800,20,20,110,120,170,140,1.085,1622.1
856,PASIR PANJANG 2,QUEENSTOWN,1350,1470,40,40,130,120,190,190,0.8532,1805.0
857,PORT,QUEENSTOWN,60,60,-,-,10,10,-,-,7.478,8.0
858,QUEENSWAY,QUEENSTOWN,100,110,-,10,20,10,20,10,0.6289,174.9
859,SINGAPORE POLYTECHNIC,QUEENSTOWN,60,60,-,-,10,10,10,10,0.9475,73.9
860,TANGLIN HALT,QUEENSTOWN,4510,5240,880,880,620,600,200,240,0.5573,8523.2
861,INSTITUTION HILL,RIVER VALLEY,1140,1300,10,20,230,260,220,210,0.3926,3438.6
862,LEONIE HILL,RIVER VALLEY,700,820,10,20,220,280,200,210,0.3685,2469.5
863,ONE TREE HILL,RIVER VALLEY,570,710,10,10,90,120,170,170,0.3407,2172.0
864,OXLEY,RIVER VALLEY,480,620,10,10,40,30,110,90,0.2008,2838.6
865,PATERSON,RIVER VALLEY,50,70,-,-,10,-,20,10,0.1731,346.6
866,BENCOOLEN,ROCHOR,480,560,20,20,150,150,40,40,0.1707,3046.3
867,FARRER PARK,ROCHOR,1040,1050,30,40,530,380,20,40,0.2181,4951.9
868,KAMPONG GLAM,ROCHOR,30,20,20,10,50,20,20,-,0.1713,175.1
869,LITTLE INDIA,ROCHOR,1390,1420,20,20,600,370,20,20,0.2783,5066.5
870,MACKENZIE,ROCHOR,40,40,-,-,10,10,10,10,0.05568,898.0
871,MOUNT EMILY,ROCHOR,370,460,10,10,40,30,110,80,0.194,2319.6
872,ROCHOR CANAL,ROCHOR,-,-,-,-,-,-,-,-,0.1202,0.0
873,SELEGIE,ROCHOR,90,90,-,-,40,30,10,10,0.04963,2014.9
874,SUNGEI ROAD,ROCHOR,830,780,210,210,180,180,20,20,0.1163,7308.7
875,VICTORIA,ROCHOR,830,950,10,20,110,90,30,30,0.2142,4014.9
876,PULAU PUNGGOL BARAT,SELETAR,-,-,-,-,-,-,-,-,2.045,0.0
877,PULAU PUNGGOL TIMOR,SELETAR,-,-,-,-,-,-,-,-,1.212,0.0
878,SELETAR,SELETAR,80,90,-,-,20,10,30,30,3.733,29.5
879,SELETAR AEROSPACE PARK,SELETAR,-,-,-,-,-,-,-,-,3.623,0.0
880,ADMIRALTY,SEMBAWANG,5060,5180,1120,1170,670,660,270,270,1.262,4223.5
881,SEMBAWANG CENTRAL,SEMBAWANG,10460,10930,1830,1890,1380,1310,660,680,0.9614,11587.3
882,SEMBAWANG EAST,SEMBAWANG,-,-,-,-,-,-,-,-,0.7581,0.0
883,SEMBAWANG NORTH,SEMBAWANG,9500,9640,1980,2060,1310,1140,600,630,1.394,7266.9
884,SEMBAWANG SPRINGS,SEMBAWANG,1730,1830,70,90,250,220,60,70,1.099,1637.9
885,SEMBAWANG STRAITS,SEMBAWANG,650,620,50,50,130,110,50,30,1.303,521.9
886,SENOKO NORTH,SEMBAWANG,-,-,-,-,-,-,-,-,2.237,0.0
645,ANG MO KIO TOWN CENTRE,ANG MO KIO,2020,2240,90,120,170,190,100,90,0.3169,6658.3
646,CHENG SAN,ANG MO KIO,11890,12770,1080,1060,1210,1170,230,370,0.9557,12828.3
647,CHONG BOON,ANG MO KIO,11150,11760,950,1010,1230,1170,260,370,1.079,10676.6
648,KEBUN BAHRU,ANG MO KIO,9160,10060,1090,1110,940,960,270,330,1.046,9072.7
649,SEMBAWANG HILLS,ANG MO KIO,2850,3230,50,50,230,270,110,110,0.8945,3309.1
650,SHANGRI-LA,ANG MO KIO,6810,7090,1200,1210,920,880,170,240,0.6879,10248.6
652,TOWNSVILLE,ANG MO KIO,9320,10310,800,860,930,970,250,330,0.5464,17661.1
653,YIO CHU KANG,ANG MO KIO,-,-,-,-,-,-,-,-,0.9094,0.0
654,YIO CHU KANG EAST,ANG MO KIO,1790,1830,30,30,140,160,60,50,1.862,988.2
655,YIO CHU KANG NORTH,ANG MO KIO,-,-,-,-,-,-,-,-,1.465,0.0
656,YIO CHU KANG WEST,ANG MO KIO,10330,11220,1110,1160,1000,1060,310,370,0.8461,12646.3
657,BAYSHORE,BEDOK,2450,2790,50,80,670,680,410,340,2.507,1112.9
658,BEDOK NORTH,BEDOK,29010,30860,8510,8520,3310,3120,1150,1450,3.204,9506.9
659,BEDOK RESERVOIR,BEDOK,9240,9660,1810,1900,1020,1000,350,420,2.379,4060.5
660,BEDOK SOUTH,BEDOK,18950,20160,2900,2990,1960,1820,1200,1210,2.997,6726.7
661,FRANKEL,BEDOK,12840,14590,520,640,1360,1310,1200,1110,4.297,3246.5
662,KAKI BUKIT,BEDOK,12900,13280,4840,4910,1980,1800,510,610,2.821,4789.1
663,KEMBANGAN,BEDOK,13350,13820,2970,3250,1900,1750,650,750,2.387,5907.0
664,SIGLAP,BEDOK,2270,2710,40,70,680,730,220,210,1.086,2283.6
665,BISHAN EAST,BISHAN,11440,12580,690,770,1280,1280,360,430,1.794,6616.5
666,MARYMOUNT,BISHAN,13440,13660,600,670,1190,1110,430,450,1.964,7072.3
667,UPPER THOMSON,BISHAN,12600,13500,500,540,1060,1080,530,520,3.85,3407.8
696,TIONG BAHRU,BUKIT MERAH,5050,5750,90,140,370,390,190,210,0.4481,11738.5
697,TIONG BAHRU STATION,BUKIT MERAH,6500,7280,460,500,690,670,280,300,0.3508,19384.3
698,BANGKIT,BUKIT PANJANG,8860,8910,2080,2070,790,710,170,210,0.7632,11884.2
699,DAIRY FARM,BUKIT PANJANG,2260,2410,40,40,180,170,150,150,1.236,1949.8
700,FAJAR,BUKIT PANJANG,9290,9400,2780,2670,1080,1010,240,310,0.6684,14362.7
701,JELEBU,BUKIT PANJANG,12860,13040,2240,2240,1220,1150,350,380,0.9112,14530.3
702,NATURE RESERVE,BUKIT PANJANG,1480,1710,30,50,130,140,180,160,4.141,396.0
703,SAUJANA,BUKIT PANJANG,9100,9180,2300,2250,1090,1100,220,280,0.675,13896.3
704,SENJA,BUKIT PANJANG,7360,7440,1740,1700,780,760,190,250,0.6249,12177.9
705,ANAK BUKIT,BUKIT TIMAH,9600,10490,100,120,410,440,420,410,2.773,3609.8
706,CORONATION ROAD,BUKIT TIMAH,2500,2880,10,20,130,160,210,280,1.425,1950.9
707,FARRER COURT,BUKIT TIMAH,1860,2130,70,80,120,110,150,170,0.5588,3632.8
708,HILLCREST,BUKIT TIMAH,3270,4060,20,50,250,300,410,470,2.636,1418.8
709,HOLLAND ROAD,BUKIT TIMAH,3850,4930,30,50,190,250,480,500,3.387,1284.3
710,LEEDON PARK,BUKIT TIMAH,2170,2670,30,50,200,200,480,460,2.039,1289.8
711,SWISS CLUB,BUKIT TIMAH,2150,2500,30,40,160,140,250,280,3.469,700.5
712,ULU PANDAN,BUKIT TIMAH,4340,4760,20,50,300,300,480,480,1.227,3928.3
713,CENTRAL WATER CATCHMENT,CENTRAL WATER CATCHMENT,-,-,-,-,-,-,-,-,37.16,0.0
714,CHANGI AIRPORT,CHANGI,-,-,-,-,-,-,-,-,35.04,0.0
715,CHANGI POINT,CHANGI,220,210,110,110,40,30,50,30,0.9032,276.8
716,CHANGI WEST,CHANGI,360,410,280,220,210,190,30,30,4.757,82.0
717,CHANGI BAY,CHANGI BAY,-,-,-,-,-,-,-,-,1.912,0.0
718,CHOA CHU KANG CENTRAL,CHOA CHU KANG,7950,8130,1470,1500,900,870,290,310,1.096,7536.5
719,CHOA CHU KANG NORTH,CHOA CHU KANG,12170,12440,2720,2790,1630,1640,480,510,1.089,11643.7
720,KEAT HONG,CHOA CHU KANG,5520,5580,1280,1190,880,850,190,190,1.144,4991.3
721,PENG SIANG,CHOA CHU KANG,10920,10920,3070,2930,1740,1670,420,450,0.8627,13179.6
722,TECK WHYE,CHOA CHU KANG,8790,8630,3200,3150,1390,1360,210,310,1.003,9072.8
723,YEW TEE,CHOA CHU KANG,16040,16370,3200,3120,1830,1720,720,720,0.9232,18154.2
724,CLEMENTI CENTRAL,CLEMENTI,4980,5500,780,800,500,480,210,240,0.7492,6967.4
725,CLEMENTI NORTH,CLEMENTI,10380,12010,1630,1700,1050,1060,400,490,0.9911,10967.6
726,CLEMENTI WEST,CLEMENTI,5450,5860,1370,1330,1020,960,230,250,0.6975,8172.0
728,FABER,CLEMENTI,1830,1920,20,20,150,160,100,130,0.9482,2067.1
887,SENOKO SOUTH,SEMBAWANG,-,-,-,-,-,-,-,-,1.743,0.0
888,THE WHARVES,SEMBAWANG,-,-,-,-,-,-,-,-,1.603,0.0
889,ANCHORVALE,SENGKANG,14500,15090,1970,1990,1740,1700,470,580,1.497,10073.5
890,COMPASSVALE,SENGKANG,7680,8070,700,730,520,500,140,170,1.093,7182.1
891,FERNVALE,SENGKANG,13330,13670,2570,2600,1290,1200,380,560,2.392,5806.9
892,LORONG HALUS NORTH,SENGKANG,-,-,-,-,-,-,-,-,0.9249,0.0
