id,subzone,planning_area,region,latitude,longitude,original_type,rank,venue_name,venue_address,venue_id,avg_weekday_footfall,avg_weekend_footfall,created_at,updated_at,venue_type
5028,JELEBU,BUKIT PANJANG,WEST REGION,1.3805836,103.7640719,catering.fast_food,null,Tai Wah Pork Noodle,"Tai Wah Pork Noodle, Bukit Panjang Road, Singapore 677743, Singapore",null,null,null,2025-04-12 16:27:16.947347,2025-04-12 16:27:16.947347,RESTAURANT
5029,BANGKIT,BUKIT PANJANG,WEST REGION,1.3786788,103.7733807,catering.fast_food,null,Wan Aneka Selera,"Wan Aneka Selera, 257 Bangkit Road, Singapore 670257, Singapore",null,null,null,2025-04-12 16:27:16.979243,2025-04-12 16:27:16.979243,RESTAURANT
5031,JELEBU,BUKIT PANJANG,WEST REGION,1.3784126,103.7631864,catering.fast_food,null,Nam Kee Pau,"Nam Kee Pau, Bukit Panjang Integrated Transport Hub, Singapore 678213, Singapore",null,null,null,2025-04-12 16:27:17.045481,2025-04-12 16:27:17.045481,RESTAURANT
5032,JELEBU,BUKIT PANJANG,WEST REGION,1.3783936,103.763134,catering.fast_food,null,Mr Coconut,"Mr Coconut, Bukit Panjang Integrated Transport Hub, Singapore 678213, Singapore",null,null,null,2025-04-12 16:27:17.079836,2025-04-12 16:27:17.079836,RESTAURANT
5033,YISHUN CENTRAL,YISHUN,NORTH REGION,1.4300741,103.8358421,catering.fast_food,null,Popeyes,"Popeyes, 930 Yishun Avenue 2, Singapore 769098, Singapore",null,null,null,2025-04-12 16:27:17.114196,2025-04-12 16:27:17.114196,RESTAURANT
5034,SENJA,BUKIT PANJANG,WEST REGION,1.3873092,103.7610638,catering.fast_food,null,Heng Heng Noodle House,"Heng Heng Noodle House, 2 Senja Close, Singapore 677632, Singapore",null,null,null,2025-04-12 16:27:17.148513,2025-04-12 16:27:17.148513,RESTAURANT
5035,SENJA,BUKIT PANJANG,WEST REGION,1.387322,103.7610248,catering.fast_food,null,Wok26,"Wok26, 2 Senja Close, Singapore 677632, Singapore",null,null,null,2025-04-12 16:27:17.185511,2025-04-12 16:27:17.185511,RESTAURANT
5036,SENJA,BUKIT PANJANG,WEST REGION,1.387336,103.7609854,catering.fast_food,null,Onigirazu.Don,"Onigirazu.Don, 2 Senja Close, Singapore 677632, Singapore",null,null,null,2025-04-12 16:27:17.225853,2025-04-12 16:27:17.225853,RESTAURANT
5037,SENJA,BUKIT PANJANG,WEST REGION,1.387329,103.7610047,catering.fast_food,null,China Whampoa Home Made Noodle,"China Whampoa Home Made Noodle, 2 Senja Close, Singapore 677632, Singapore",null,null,null,2025-04-12 16:27:17.269066,2025-04-12 16:27:17.269066,RESTAURANT
5038,JELEBU,BUKIT PANJANG,WEST REGION,1.3806533,103.7641475,catering.fast_food,null,Micun Bibinpap,"Micun Bibinpap, Bukit Panjang Road, Singapore 677743, Singapore",null,null,null,2025-04-12 16:27:17.305086,2025-04-12 16:27:17.305086,RESTAURANT
