id,subzone,planning_area,hdb_2_room,hdb_3_room,hdb_4_room,hdb_5_room_ea,condominiums_and_apartments,landed_properties,other_types_properties
124,YUHUA EAST,JURONG EAST,-,"9,020","7,620","7,830","2,860",-,140
125,YUHUA WEST,JURONG EAST,"1,910","4,070","5,650","6,010","3,060",-,180
126,BOON LAY PLACE,JURONG WEST,"4,540","15,500","4,640","5,140","1,240",-,50
127,CHIN BEE,JURONG WEST,-,-,-,-,-,-,-
128,HONG KAH,JURONG WEST,560,"12,870","26,150","14,220","2,930",-,140
129,JURONG WEST CENTRAL,JURONG WEST,-,-,"25,820","41,230","1,150",-,-
130,KIAN TECK,JURONG WEST,-,-,-,-,-,-,-
131,SAFTI,JURONG WEST,-,-,-,-,-,-,-
132,TAMAN JURONG,JURONG WEST,"1,790","4,940","12,750","12,160","4,560",690,50
133,WENYA,JURONG WEST,-,-,"3,350","5,250",-,-,10
134,YUNNAN,JURONG WEST,220,"2,440","33,760","28,310","2,400","3,720",50
135,BENDEMEER,KALLANG,"1,730","9,280","11,810","6,220","3,640",670,480
136,BOON KENG,KALLANG,"1,020","2,500","4,540","2,670",40,140,60
137,CRAWFORD,KALLANG,"4,860","2,690",860,750,450,-,120
138,GEYLANG BAHRU,KALLANG,"1,320","7,750","1,490","2,200",-,-,100
139,KALLANG BAHRU,KALLANG,-,-,-,-,-,-,-
140,KAMPONG BUGIS,KALLANG,-,-,640,130,110,-,20
141,KAMPONG JAVA,KALLANG,410,"1,980","3,850","1,700","2,540",630,140
142,LAVENDER,KALLANG,"2,750","1,380","1,690",980,"2,920",30,550
143,TANJONG RHU,KALLANG,570,"2,160",450,940,"7,040",10,150
144,LIM CHU KANG,LIM CHU KANG,-,-,-,-,-,-,-
145,MANDAI EAST,MANDAI,-,-,-,-,-,-,-
146,MANDAI ESTATE,MANDAI,-,-,-,-,"1,240",780,90
147,MANDAI WEST,MANDAI,-,-,-,-,-,-,-
148,MARINA EAST,MARINA EAST,-,-,-,-,-,-,-
149,MARINA SOUTH,MARINA SOUTH,-,-,-,-,-,-,-
150,EAST COAST,MARINE PARADE,-,-,-,-,-,-,-
151,KATONG,MARINE PARADE,-,-,-,-,"4,960","4,340",320
152,MARINA EAST (MP),MARINE PARADE,-,-,-,-,-,-,-
153,MARINE PARADE,MARINE PARADE,"3,740","6,910","5,360","5,690","6,980",120,120
154,MOUNTBATTEN,MARINE PARADE,-,-,-,-,"5,060","5,040",110
155,BRAS BASAH,MUSEUM,-,-,-,-,-,-,-
156,DHOBY GHAUT,MUSEUM,-,-,-,-,200,-,10
157,FORT CANNING,MUSEUM,-,-,-,-,150,-,10
158,CAIRNHILL,NEWTON,-,-,-,-,"2,760",430,150
159,GOODWOOD PARK,NEWTON,-,-,-,-,760,90,50
160,ISTANA NEGARA,NEWTON,-,-,-,-,-,-,-
161,MONK'S HILL,NEWTON,-,-,-,-,960,-,20
162,NEWTON CIRCUS,NEWTON,-,-,-,-,200,20,-
163,ORANGE GROVE,NEWTON,-,-,-,-,"1,430",-,-
164,NORTH-EASTERN ISLANDS,NORTH-EASTERN ISLANDS,-,-,-,-,-,-,-
165,BALESTIER,NOVENA,"2,220","7,890","6,490","5,090","9,220",530,900
166,DUNEARN,NOVENA,-,-,-,-,840,"3,040",20
167,MALCOLM,NOVENA,-,-,-,-,720,"1,830",80
168,MOULMEIN,NOVENA,-,-,200,-,"6,870","1,280",110
169,MOUNT PLEASANT,NOVENA,-,-,-,-,-,640,10
170,BOULEVARD,ORCHARD,-,-,-,-,340,-,60
171,SOMERSET,ORCHARD,-,-,-,-,110,-,20
172,TANGLIN,ORCHARD,-,-,-,-,380,-,10
173,CHINA SQUARE,OUTRAM,-,"1,460",-,70,50,-,10
174,CHINATOWN,OUTRAM,"1,140","2,900","5,040","2,170",330,-,280
175,PEARL'S HILL,OUTRAM,"5,330","1,240",300,20,"1,060",-,270
176,PEOPLE'S PARK,OUTRAM,-,-,-,-,380,-,10
177,FLORA DRIVE,PASIR RIS,-,-,-,-,"9,110","3,460",390
178,LOYANG EAST,PASIR RIS,-,-,-,-,940,"1,230",20
179,LOYANG WEST,PASIR RIS,-,-,-,-,-,-,200
180,PASIR RIS CENTRAL,PASIR RIS,330,520,"5,870","14,120","4,520",370,-
181,PASIR RIS DRIVE,PASIR RIS,870,-,"24,310","32,510","1,790",-,10
182,PASIR RIS PARK,PASIR RIS,-,-,-,-,"2,700",270,10
183,PASIR RIS WAFER FAB PARK,PASIR RIS,-,-,-,-,-,-,-
184,PASIR RIS WEST,PASIR RIS,-,-,"11,110","18,700","4,360","2,150",10
185,AIRPORT ROAD,PAYA LEBAR,-,-,-,-,-,-,-
186,PAYA LEBAR EAST,PAYA LEBAR,-,-,-,-,-,-,-
187,PAYA LEBAR NORTH,PAYA LEBAR,-,-,-,-,-,-,-
188,PAYA LEBAR WEST,PAYA LEBAR,-,-,-,-,-,-,-
189,PLAB,PAYA LEBAR,-,-,-,-,-,-,-
190,BENOI SECTOR,PIONEER,-,-,-,-,-,-,-
191,GUL BASIN,PIONEER,-,-,-,-,-,-,-
192,GUL CIRCLE,PIONEER,-,-,-,-,-,-,-
193,JOO KOON,PIONEER,-,-,-,-,-,-,-
194,PIONEER SECTOR,PIONEER,-,-,-,-,-,-,-
195,CONEY ISLAND,PUNGGOL,-,-,-,-,-,-,-
196,MATILDA,PUNGGOL,"1,960","3,180","14,160","9,130","2,000",-,10
197,NORTHSHORE,PUNGGOL,-,-,-,-,-,280,10
198,PUNGGOL CANAL,PUNGGOL,-,-,-,-,-,-,-
199,PUNGGOL FIELD,PUNGGOL,-,-,"13,070","29,990",-,-,230
200,PUNGGOL TOWN CENTRE,PUNGGOL,-,880,"5,750",760,-,-,10
201,WATERWAY EAST,PUNGGOL,"2,700","2,470","15,990","5,700","1,490",-,-
202,COMMONWEALTH,QUEENSTOWN,"1,890","5,930",280,-,-,-,30
203,DOVER,QUEENSTOWN,490,"3,280","3,810","3,050","2,340",40,190
204,GHIM MOH,QUEENSTOWN,"1,970","4,790","2,800","2,290",-,-,50
205,HOLLAND DRIVE,QUEENSTOWN,640,"6,360","4,690","2,470",-,10,60
206,KENT RIDGE,QUEENSTOWN,-,-,-,-,"1,000",70,10
207,MARGARET DRIVE,QUEENSTOWN,290,480,"6,660","3,060",10,10,20
208,MEI CHIN,QUEENSTOWN,"1,950","5,790","2,930","2,880","2,820",220,160
209,NATIONAL UNIVERSITY OF S'PORE,QUEENSTOWN,-,-,-,-,-,-,360
210,ONE NORTH,QUEENSTOWN,-,-,-,-,540,40,30
211,PASIR PANJANG 1,QUEENSTOWN,-,-,-,-,"2,470","1,450",80
212,PASIR PANJANG 2,QUEENSTOWN,-,-,-,-,"1,680","1,770",60
213,PORT,QUEENSTOWN,-,-,-,-,20,100,20
214,QUEENSWAY,QUEENSTOWN,-,-,-,-,250,20,10
215,SINGAPORE POLYTECHNIC,QUEENSTOWN,-,-,-,-,-,-,160
216,TANGLIN HALT,QUEENSTOWN,"1,840","7,570","3,130",570,-,-,50
217,INSTITUTION HILL,RIVER VALLEY,-,-,-,-,"3,320",40,20
218,LEONIE HILL,RIVER VALLEY,-,-,-,-,"2,350",50,50
219,ONE TREE HILL,RIVER VALLEY,-,-,-,-,"1,290",550,-
220,OXLEY,RIVER VALLEY,-,-,-,-,"1,200",140,40
221,PATERSON,RIVER VALLEY,-,-,-,-,140,10,-
222,BENCOOLEN,ROCHOR,40,900,130,-,330,-,70
223,FARRER PARK,ROCHOR,-,320,"1,980",430,80,30,290
224,KAMPONG GLAM,ROCHOR,-,-,-,-,30,-,150
225,LITTLE INDIA,ROCHOR,-,"1,390","1,690",280,80,30,400
226,MACKENZIE,ROCHOR,-,-,-,-,100,-,10
227,MOUNT EMILY,ROCHOR,-,-,-,-,"1,000",60,40
228,ROCHOR CANAL,ROCHOR,-,-,-,-,-,-,-
229,SELEGIE,ROCHOR,-,-,-,-,220,30,20
230,SUNGEI ROAD,ROCHOR,780,"1,160",410,40,-,-,30
231,VICTORIA,ROCHOR,-,"1,220",570,50,170,-,50
232,PULAU PUNGGOL BARAT,SELETAR,-,-,-,-,-,-,-
233,PULAU PUNGGOL TIMOR,SELETAR,-,-,-,-,-,-,-
234,SELETAR,SELETAR,-,-,-,-,-,250,-
235,SELETAR AEROSPACE PARK,SELETAR,-,-,-,-,-,-,-
236,ADMIRALTY,SEMBAWANG,"1,210",670,"5,810","6,700",-,-,20
237,SEMBAWANG CENTRAL,SEMBAWANG,-,-,"11,100","17,680",180,-,180
238,SEMBAWANG EAST,SEMBAWANG,-,-,-,-,-,-,-
239,SEMBAWANG NORTH,SEMBAWANG,550,250,"12,240","13,800",-,-,20
240,SEMBAWANG SPRINGS,SEMBAWANG,-,-,-,-,"1,970","2,010",320
241,SEMBAWANG STRAITS,SEMBAWANG,-,-,-,-,20,"1,680",-
242,SENOKO NORTH,SEMBAWANG,-,-,-,-,-,-,-
243,SENOKO SOUTH,SEMBAWANG,-,-,-,-,-,-,-
244,THE WHARVES,SEMBAWANG,-,-,-,-,-,-,-
245,ANCHORVALE,SENGKANG,990,930,"13,770","22,350",-,-,-
